Movies,ReleaseYear,Genre,MovieType,Rating,StarsDirectors,Votes,RunTime(mins),Gross($)
Dark,2017,"Crime,Drama,Mystery",Series,8.8,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne",312629,60,89220000.0
Boku no hîrô akademia,2016,"Animation,Action,Adventure",Series,8.4,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner",44367,24,89220000.0
Cobra Kai,2018,"Action,Comedy,Drama",Series,8.6,"Courtney Henggeler, Mary Mouser, Tanner Buchanan, Ralph Macchio",122268,30,89220000.0
Gotham,2014,"Action,Crime,Drama",Series,7.8,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova",216458,42,89220000.0
Billions,2016,Drama,Series,8.4,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile",74094,60,89220000.0
Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",Series,7.5,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker",205119,45,89220000.0
Don't Breathe,2016,"Crime,Horror,Thriller",Regular,7.1,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto, Fede Alvarez",237601,88,89220000.0
The Ice Road,2021,"Action,Adventure,Drama",Regular,5.6,"Liam Neeson, Marcus Thomas, Laurence Fishburne, Amber Midthunder, Jonathan Hensleigh",20561,109,315540000.0
Arrow,2012,"Action,Adventure,Crime",Series,7.5,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson",414712,42,315540000.0
Orange Is the New Black,2013,"Comedy,Crime,Drama",Series,8.0,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles",284554,59,315540000.0
Gossip Girl,2007,"Drama,Romance",Series,7.4,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick",159666,42,315540000.0
Bridgerton,2020,"Drama,Romance",Series,7.3,"Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey",83944,60,315540000.0
The Kominsky Method,2018,"Comedy,Drama",Series,8.2,"Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang",33440,30,315540000.0
Homeland,2011,"Crime,Drama,Mystery",Series,8.3,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend",322307,55,315540000.0
Riverdale,2017,"Crime,Drama,Mystery",Series,6.8,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse",126112,45,315540000.0
Sherlock,2010,"Crime,Drama,Mystery",Series,9.1,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",839029,88,315540000.0
La cocinera de Castamar,2021,Drama,Regular,7.4,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias",1336,42,315540000.0
Queen of the South,2016,"Action,Crime,Drama",Series,8.0,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",23318,42,315540000.0
CSI: Crime Scene Investigation,2000,"Crime,Drama,Mystery",Series,7.6,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda",78589,60,315540000.0
The Umbrella Academy,2019,"Action,Adventure,Comedy",Series,8.0,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman",175513,60,315540000.0
Supergirl,2015,"Action,Adventure,Drama",Series,6.2,"Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",115373,43,315540000.0
BoJack Horseman,2014,"Animation,Comedy,Drama",Series,8.7,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",124318,25,315540000.0
The Lord of the Rings: The Fellowship of the Ring,2001,"Action,Adventure,Drama",Regular,8.8,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Peter Jackson",1713028,178,315540000.0
I Think You Should Leave with Tim Robinson,2019,Comedy,Series,7.8,"Tim Robinson, Sam Richardson, Patti Harrison, Conner O'Malley",8095,16,57010000.0
South Park,1997,"Animation,Comedy",Series,8.7,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall",340148,22,57010000.0
Once Upon a Time,2011,"Adventure,Fantasy,Romance",Series,7.7,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle",212616,60,57010000.0
Star Trek: Discovery,2017,"Action,Adventure,Drama",Series,7.2,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",101079,60,57010000.0
Teen Wolf,2011,"Action,Drama,Fantasy",Series,7.6,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby",132950,41,57010000.0
How to Get Away with Murder,2014,"Crime,Drama,Mystery",Series,8.1,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King",136135,43,57010000.0
Star Trek: Deep Space Nine,1993,"Action,Adventure,Drama",Series,8.0,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig",55687,45,57010000.0
Seinfeld,1989,Comedy,Series,8.8,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander",264801,22,57010000.0
Spartacus: Blood and Sand,2010,"Action,Adventure,Biography",Series,8.5,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",228484,55,57010000.0
Hawaii Five-0,2010,"Action,Crime,Drama",Series,7.3,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim",68627,42,57010000.0
Good Witch,2015,"Comedy,Drama,Fantasy",Series,7.3,"Catherine Bell, Catherine Disher, James Denton, Kylee Evans",8268,48,57010000.0
The Sinner,2017,"Crime,Drama,Mystery",Series,7.9,"Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel",96901,45,57010000.0
Arrested Development,2003,Comedy,Series,8.7,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",284373,22,57010000.0
Escape Room,2019,"Action,Adventure,Horror",Regular,6.4,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine, Adam Robitel",99351,99,57010000.0
You,2018,"Crime,Drama,Romance",Series,7.7,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",157666,45,260000000.0
Mindhunter,2017,"Crime,Drama,Thriller",Series,8.6,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",235694,60,260000000.0
Jaws,1975,"Adventure,Thriller",Regular,8.0,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Steven Spielberg",558731,124,260000000.0
Avatar: The Last Airbender,2005,"Animation,Action,Adventure",Series,9.3,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",265845,23,132380000.0
The Punisher,2017,"Action,Crime,Drama",Series,8.5,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore",194777,53,132380000.0
Star Trek: Voyager,1995,"Action,Adventure,Sci-Fi",Series,7.8,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill",61917,44,132380000.0
The Departed,2006,"Crime,Drama,Thriller",Regular,8.5,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Scorsese",1227522,151,132380000.0
Narcos,2015,"Biography,Crime,Drama",Series,8.8,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook",375261,49,167770000.0
The Serpent,2021,"Crime,Drama,Thriller",Regular,7.6,"Tahar Rahim, Billy Howle, Jenna Coleman, Ellie Bamber",33936,58,167770000.0
Star Wars: The Clone Wars,2008,"Animation,Action,Adventure",Series,8.3,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",71904,23,167770000.0
"Murder, She Wrote",1984,"Crime,Drama,Mystery",Series,7.0,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum",20330,50,167770000.0
Fatherhood,2021,"Comedy,Drama",Regular,6.7,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Paul Weitz",26508,109,167770000.0
Blue Bloods,2010,"Crime,Drama,Mystery",Series,7.6,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",34064,43,167770000.0
Heist,2021,"Documentary,Crime,Mystery",Series,6.8,"William Guirola, Megan Barlow, Scott Bender, Jonny Carlson",846,41,167770000.0
The Woman in the Window,2021,"Crime,Drama,Mystery",Regular,5.7,"Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Joe Wright",57048,100,167770000.0
Black Summer,2019,"Action,Drama,Horror",Series,6.5,"Jaime King, Justin Chu Cary, Christine Lee, Zoe Marlett",25453,40,167770000.0
Katla,2021,"Drama,Mystery,Sci-Fi",Series,7.1,"Guðrún Ýr Eyfjörð, Íris Tanja Flygenring, Ingvar Sigurdsson, Aliette Opheim",8391,149,167770000.0
